MEDICATION_NM,ingredient,concept_id
HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,heparin sodium,35884360
HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,unit,
DORZOLAMIDE HCL 2 % OP SOLN,dorzolamide hcl,981709
DORZOLAMIDE HCL 2 % OP SOLN,op soln,
CEFOXITIN IV PUSH 1 GM IN SWFI 10 ML,cefoxitin iv push,1775741
SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride,967823
LIDOCAINE HCL (PF) 0.5 % IJ SOLN,lidocaine hcl,989878
SURGILUBE EX GEL,surgilube ex gel,
POVIDONE-IODINE 10 % EX SWAB,povidone,950056
POVIDONE-IODINE 10 % EX SWAB,iodine,1780601
POTASSIUM CHLORIDE CRYS CR 20 MEQ OR TBCR,potassium chloride crys cr,19049105
ISOPROPYL ALCOHOL 70 % SOLN,isopropyl alcohol,19028106
ISOPROPYL ALCOHOL 70 % SOLN,soln,
OXYCODONE HCL 5 MG OR TABS,oxycodone hcl,1124957
DEXTROSE 10 % IV SOLN,dextrose,
VANCOMYCIN 50 MG/ML ORAL SOLN (COMPOUNDED),vancomycin,1707687
VANCOMYCIN 50 MG/ML ORAL SOLN (COMPOUNDED),ml oral soln,
PLASMA-LYTE A IV BOLUS (UCI),plasma,
PLASMA-LYTE A IV BOLUS (UCI),lyte a iv bolus,
SENNA 8.6 MG OR TABS,senna,
PANTOPRAZOLE SODIUM 40 MG OR TBEC,pantoprazole sodium,948078
PLASMA-LYTE A IV SOLN,plasma,
PLASMA-LYTE A IV SOLN,lyte a iv soln,
INDOMETHACIN 50 MG RE SUPP,indomethacin,1178663
"CEFAZOLIN 1,000 MG IN 1,000 ML NS SOLUTION (OPTIME)",cefazolin,1771162
"CEFAZOLIN 1,000 MG IN 1,000 ML NS SOLUTION (OPTIME)",ml ns solution,
GABAPENTIN 100 MG OR CAPS,gabapentin,797399
GABAPENTIN 100 MG OR CAPS,mg or caps,
INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN (UCI),insulin lispro,1550023
INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN (UCI),unit,
LIDOCAINE-EPINEPHRINE 1 %-1:100000 IJ SOLN,lidocaine,989878
LIDOCAINE-EPINEPHRINE 1 %-1:100000 IJ SOLN,epinephrine,1343916
ATORVASTATIN CALCIUM 20 MG OR TABS,atorvastatin calcium,1545958
BENAZEPRIL HCL 20 MG OR TABS,benazepril hcl,1335471
ZINC SULFATE 220 MG OR CAPS,zinc sulfate,19044522
ZINC SULFATE 220 MG OR CAPS,mg or caps,
SELENIUM 200 MCG PO TABS,selenium,966282
SELENIUM 200 MCG PO TABS,mcg po tabs,
METHOCARBAMOL 750 MG OR TABS,methocarbamol,704943
HYDROMORPHONE 0.5 MG/ML PREMIX PCA INFUSION - NAIVE (UCI),hydromorphone,1126658
HYDROMORPHONE 0.5 MG/ML PREMIX PCA INFUSION - NAIVE (UCI),ml premix pca infusion,
HYDROMORPHONE 0.5 MG/ML PREMIX PCA INFUSION - NAIVE (UCI),naive,
"VANCOMYCIN 1,000 MG IN 1,000 ML NS IRRIGATION (OPTIME)",vancomycin,1707687
"VANCOMYCIN 1,000 MG IN 1,000 ML NS IRRIGATION (OPTIME)",ml ns irrigation,
IOHEXOL 300 MG/ML IJ SOLN,iohexol,19080985
ICETAMINOPHEN 325 MG OR TABS,icetaminophen,
HYDROMORPHONE 10 MCG/ML BUPIVACAINE 0.1% PAIN MANAGEMENT PCEA (UCI),hydromorphone,1126658
HYDROMORPHONE 10 MCG/ML BUPIVACAINE 0.1% PAIN MANAGEMENT PCEA (UCI),ml bupivacaine,
HYDROMORPHONE 10 MCG/ML BUPIVACAINE 0.1% PAIN MANAGEMENT PCEA (UCI),pain management pcea,
SODIUM PHOSPHATE IVPB 40 MEQ (UCI),sodium phosphate ivpb,939871
MAGNESIUM SULFATE 2 GM/50ML IV SOLN,magnesium sulfate,19093848
ACETAMINOPHEN 500 MG OR TABS,acetaminophen,1125315
METHOCARBAMOL 500 MG OR TABS,methocarbamol,704943
POTASSIUM PHOSPHATES 40 MEQ IN 250 ML NS (UCI),potassium phosphates,19049024
POTASSIUM PHOSPHATES 40 MEQ IN 250 ML NS (UCI),meq in,
POTASSIUM PHOSPHATES 40 MEQ IN 250 ML NS (UCI),ml ns,
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,ketorolac tromethamine,1136980
ACETYLCYSTEINE 20 % IN SOLN,acetylcysteine,1139042
ACETYLCYSTEINE 20 % IN SOLN,in soln,
BACLOFEN 10 MG OR TABS,baclofen,715233
DIAZEPAM 5 MG OR TABS,diazepam,723013
DIVALPROEX SPRINKLES 125 MG OR CPSP,divalproex sprinkles,
DIVALPROEX SPRINKLES 125 MG OR CPSP,mg or cpsp,
DULOXETINE HCL 20 MG OR CPEP,duloxetine hcl,715259
DULOXETINE HCL 20 MG OR CPEP,mg or cpep,
FOLIC ACID 1 MG OR TABS,folic acid,19111620
FUROSEMIDE 40 MG OR TABS,furosemide,956874
HYDROXYZINE HCL 25 MG OR TABS,hydroxyzine hcl,777221
HYDRALAZINE HCL 50 MG OR TABS,hydralazine hcl,1373928
LEVOTHYROXINE SODIUM 75 MCG OR TABS,levothyroxine sodium,1501700
MODEL IMS TEMPLATE,model ims template,
ACETAMINOPHEN 650 MG RE SUPP,acetaminophen,1125315
DOCUSATE SODIUM 100 MG OR CAPS,docusate sodium,941258
DOCUSATE SODIUM 100 MG OR CAPS,mg or caps,
IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,ipratropium,1112921
IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,albuterol,1154343
IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,in soln,
MORPHINE SULFATE 10 MG/5ML OR SOLN,morphine sulfate,1110410
OXYCODONE-ACETAMINOPHEN 5-325 MG OR TABS,oxycodone,1124957
OXYCODONE-ACETAMINOPHEN 5-325 MG OR TABS,acetaminophen,1125315
INSULIN GLARGINE 100 UNIT/ML SC SOLN,insulin glargine,1502905
INSULIN GLARGINE 100 UNIT/ML SC SOLN,unit,
METOPROLOL TARTRATE 12.5 MG OR TABS (HALF TABLET),metoprolol tartrate,1307046
FUROSEMIDE 10 MG/ML IJ SOLN,furosemide,956874
SODIUM CHLORIDE FLUSH 0.9 % IV SOLN,sodium chloride flush,967823
PERFLUTREN LIPID MICROSPHERE 1.1 MG/ML IV SUSP,perflutren lipid microsphere,19071160
PERFLUTREN LIPID MICROSPHERE 1.1 MG/ML IV SUSP,ml iv susp,
ASPIRIN EC 81 MG OR TBEC,aspirin ec,1112807
"HEPARIN 25,000 UNITS/250 ML 1/2 NS PREMIX INFUSION (UCI)",heparin,1367571
"HEPARIN 25,000 UNITS/250 ML 1/2 NS PREMIX INFUSION (UCI)",units,
"HEPARIN 25,000 UNITS/250 ML 1/2 NS PREMIX INFUSION (UCI)",ns premix infusion,
NITROGLYCERIN 50 MG/250 ML D5W PREMIX INFUSION (UCI),nitroglycerin,1361711
NITROGLYCERIN 50 MG/250 ML D5W PREMIX INFUSION (UCI),ml d,
NITROGLYCERIN 50 MG/250 ML D5W PREMIX INFUSION (UCI),premix infusion,
PANTOPRAZOLE SODIUM 40 MG IV SOLR,pantoprazole sodium,948078
PANTOPRAZOLE SODIUM 40 MG IV SOLR,mg iv solr,
GLUCAGON HCL (DIAGNOSTIC) 1 MG IJ SOLR,glucagon hcl,1560278
METOPROLOL SUCCINATE 12.5 MG OR TB24 (HALF TABLET),metoprolol succinate,1307046
METOPROLOL SUCCINATE 12.5 MG OR TB24 (HALF TABLET),mg or tb,
TRAMADOL HCL 50 MG OR TABS,tramadol hcl,1103314
FENTANYL CITRATE (PF) 100 MCG/2ML IJ SOLN,fentanyl citrate,1154029
DEXTROSE-NACL 5-0.45 % IV SOLN,dextrose,
DEXTROSE-NACL 5-0.45 % IV SOLN,nacl,
PROPOFOL 1000 MG/100 ML INFUSION (UCI),propofol,753626
ASPIRIN 81 MG OR CHEW,aspirin,1112807
DOBUTAMINE IN D5W 4-5 MG/ML-% IV SOLN,dobutamine in d,1337720
NICARDIPINE 50 MG/250 ML NS INFUSION (UCI),nicardipine,1318137
NICARDIPINE 50 MG/250 ML NS INFUSION (UCI),ml ns infusion,
INSULIN REGULAR INFUSION,insulin regular infusion,
HYDROMORPHONE HCL 2 MG/ML IJ SOLN,hydromorphone hcl,1126658
POTASSIUM CHLORIDE IVPB 30 MEQ IN 100 ML (UCI),potassium chloride ivpb,19049105
POTASSIUM CHLORIDE IVPB 30 MEQ IN 100 ML (UCI),meq in,
LOSARTAN POTASSIUM 25 MG OR TABS,losartan potassium,1367500
POTASSIUM CHLORIDE 20 MEQ/15ML (10%) OR SOLN,potassium chloride,19049105
DEXTROSE 50 % IV SOLN,dextrose,
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,midazolam hcl,708298
HEPARIN SODIUM LOCK FLUSH 100 UNIT/ML IJ SOLN,heparin sodium lock flush,35884360
HEPARIN SODIUM LOCK FLUSH 100 UNIT/ML IJ SOLN,unit,
benazepril (LOTENSIN) 20 MG tablet  - ADS OVERRIDE,benazepril,1335471
benazepril (LOTENSIN) 20 MG tablet  - ADS OVERRIDE,mg tablet,
INSULIN ASPART 100 UNIT/ML SC SOPN,insulin aspart,35198096
INSULIN ASPART 100 UNIT/ML SC SOPN,unit,
INSULIN ASPART 100 UNIT/ML SC SOPN,ml sc sopn,
HYDRALAZINE HCL 25 MG OR TABS,hydralazine hcl,1373928
PANCRELIPASE (LIP-PROT-AMYL) 12000 UNITS PO CPEP,pancrelipase,990340
PANCRELIPASE (LIP-PROT-AMYL) 12000 UNITS PO CPEP,units po cpep,
HYDRALAZINE HCL 20 MG/ML IJ SOLN,hydralazine hcl,1373928
INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,insulin regular human,
INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,unit,
MAGNESIUM OXIDE 400 MG OR TABS,magnesium oxide,993631
LEVONORGESTREL 19.5 MCG/DAY IU IUD,levonorgestrel,1589505
LEVONORGESTREL 19.5 MCG/DAY IU IUD,day iu iud,
METHYLERGONOVINE MALEATE 0.2 MG/ML IJ SOLN,methylergonovine maleate,1305637
VANCOMYCIN IVPB 1 GM (UCI),vancomycin ivpb,1707687
MIRTAZAPINE 15 MG OR TABS,mirtazapine,725131
"PIPERACILLIN-TAZOBACTAM IVPB 2,250 MG (UCI)",piperacillin,1746114
"PIPERACILLIN-TAZOBACTAM IVPB 2,250 MG (UCI)",tazobactam ivpb,1741122
FILGRASTIM-SNDZ 480 MCG/0.8ML IJ SOSY,filgrastim,1304850
FILGRASTIM-SNDZ 480 MCG/0.8ML IJ SOSY,sndz,
FILGRASTIM-SNDZ 480 MCG/0.8ML IJ SOSY,ij sosy,
POTASSIUM CHLORIDE IVPB 20 MEQ IN 250 ML PERIPHERAL (UCI),potassium chloride ivpb,19049105
POTASSIUM CHLORIDE IVPB 20 MEQ IN 250 ML PERIPHERAL (UCI),meq in,
POTASSIUM CHLORIDE IVPB 20 MEQ IN 250 ML PERIPHERAL (UCI),ml peripheral,
MIDAZOLAM HCL (PF) 2 MG/2ML IJ SOLN,midazolam hcl,708298
midazolam PF (VERSED) 2 MG/2ML injection  - ADS OVERRIDE,midazolam pf,708298
midazolam PF (VERSED) 2 MG/2ML injection  - ADS OVERRIDE,injection,
DEXTROSE 5 % IV SOLN,dextrose,
POTASSIUM CHLORIDE IVPB 40 MEQ IN 500 ML PERIPHERAL (UCI),potassium chloride ivpb,19049105
POTASSIUM CHLORIDE IVPB 40 MEQ IN 500 ML PERIPHERAL (UCI),meq in,
POTASSIUM CHLORIDE IVPB 40 MEQ IN 500 ML PERIPHERAL (UCI),ml peripheral,
BETAMETHASONE ACET & SOD PHOS 6 (3-3) MG/ML IJ SUSP,betamethasone acet,920458
BETAMETHASONE ACET & SOD PHOS 6 (3-3) MG/ML IJ SUSP,sod phos,
BETAMETHASONE ACET & SOD PHOS 6 (3-3) MG/ML IJ SUSP,ml ij susp,
LACTATED RINGERS IV SOLN,lactated ringers iv soln,
TRANEXAMIC ACID IVPB,tranexamic acid ivpb,1303425
SIMETHICONE 80 MG OR CHEW,simethicone,966991
FERROUS SULFATE 325 (65 FE) MG OR TABS,ferrous sulfate,1396131
METOCLOPRAMIDE HCL 10 MG OR TABS,metoclopramide hcl,906780
AMLODIPINE 5 MG OR TABS,amlodipine,1332418
IRON SUCROSE IVPB 200 MG (UCI),iron sucrose ivpb,1395773
POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG OR PACK,potassium,19049024
POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG OR PACK,sodium phosphates,19136048
POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG OR PACK,mg or pack,
CYANOCOBALAMIN 1000 MCG/ML IJ SOLN,cyanocobalamin,
MORPHINE SULFATE 4 MG/ML IJ SOLN,morphine sulfate,1110410
CEFTRIAXONE IV 1 GM IN SWFI,ceftriaxone iv,1777806
ONDANSETRON HCL 4 MG OR TABS,ondansetron hcl,1000560
VANCOMYCIN IVPB (VARIABLE DOSES IN 250 ML) - 1250 MG (UCI),vancomycin ivpb,1707687
IOHEXOL 350 MG/ML IV SOLN,iohexol,19080985
IOHEXOL 350 MG/ML IV SOLN,ml iv soln,
COLCHICINE 0.6 MG OR TABS,colchicine,1101554
CEFTRIAXONE IV 2 GM IN SWFI (UCI),ceftriaxone iv,1777806
NOREPINEPHRINE-SODIUM CHLORIDE 8-0.9 MG/250ML-% IV SOLN,norepinephrine,1321341
NOREPINEPHRINE-SODIUM CHLORIDE 8-0.9 MG/250ML-% IV SOLN,sodium chloride,967823
PROPOFOL 10 MG/ML BOLUS FROM BAG (UCI),propofol,753626
PROPOFOL 10 MG/ML BOLUS FROM BAG (UCI),ml bolus from bag,
FENTANYL 50 MCG/ML PREMIX INFUSION (UCI),fentanyl,1154029
FENTANYL 50 MCG/ML PREMIX INFUSION (UCI),ml premix infusion,
FENTANYL DOSE FROM BAG (UCI),fentanyl dose from bag,1154029
VASOPRESSIN INFUSION (UCI),vasopressin infusion,
CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,chlorhexidine gluconate,1790812
CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,mt soln,
FLUCONAZOLE IN SODIUM CHLORIDE 200-0.9 MG/100ML-% IV SOLN,fluconazole in sodium chloride,1754994
DEXTROSE IN LACTATED RINGERS 5 % IV SOLN,dextrose in lactated ringers,
MAGNESIUM SULFATE 4 GM/50ML IV SOLN,magnesium sulfate,19093848
SODIUM BICARBONATE 150 MEQ/1000 ML INFUSION (UCI),sodium bicarbonate,939506
ALBUMIN HUMAN 5 % IV SOLN,albumin human,
ACETAMINOPHEN 10 MG/ML IV SOLN,acetaminophen,1125315
ACETAMINOPHEN 10 MG/ML IV SOLN,ml iv soln,
PN ADULT (UCI),pn adult,
ANTICOAGULANT SODIUM CITRATE 4% INJ (UCI),anticoagulant sodium citrate,
ANTICOAGULANT SODIUM CITRATE 4% INJ (UCI),inj,
CALCIUM GLUCONATE 2 G IVPB (UCI),calcium gluconate,19037038
CALCIUM GLUCONATE 2 G IVPB (UCI),g ivpb,
ROMIPLOSTIM 250 MCG SC SOLR,romiplostim,19032407
ROMIPLOSTIM 250 MCG SC SOLR,mcg sc solr,
SODIUM PHOSPHATE IVPB 20 MEQ (UCI),sodium phosphate ivpb,939871
TAMSULOSIN HCL 0.4 MG PO CAPS,tamsulosin hcl,924566
TAMSULOSIN HCL 0.4 MG PO CAPS,mg po caps,
FAT EMUL FISH OIL/PLANT BASED 20 % IV EMUL,fat emul fish oil,
FAT EMUL FISH OIL/PLANT BASED 20 % IV EMUL,plant based,
FINASTERIDE 5 MG OR TABS,finasteride,996416
ENOXAPARIN SODIUM 80 MG/0.8ML SC SOLN,enoxaparin sodium,1301025
ADULT REPLACEMENT FLUID INFUSION (UCI),adult replacement fluid infusion,
ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN,enoxaparin sodium,1301025
"PIPERACILLIN-TAZOBACTAM IVPB 3,375 MG (UCI)",piperacillin,1746114
"PIPERACILLIN-TAZOBACTAM IVPB 3,375 MG (UCI)",tazobactam ivpb,1741122
sterile water (PF) injection  - ADS OVERRIDE,sterile water,
sterile water (PF) injection  - ADS OVERRIDE,injection,
AMITRIPTYLINE HCL 10 MG OR TABS,amitriptyline hcl,710062
PRAMIPEXOLE DIHYDROCHLORIDE 0.25 MG OR TABS,pramipexole dihydrochloride,720810
VENLAFAXINE HCL 75 MG OR CP24,venlafaxine hcl,743670
VENLAFAXINE HCL 75 MG OR CP24,mg or cp,
HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,heparin sodium,35884360
HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,unit,
GABAPENTIN 400 MG OR CAPS,gabapentin,797399
GABAPENTIN 400 MG OR CAPS,mg or caps,
CIPROFLOXACIN HCL 500 MG OR TABS,ciprofloxacin hcl,1797513
APIXABAN 5 MG PO TABS,apixaban,43013024
VANCOMYCIN PER PHARMACY (UCI),vancomycin per pharmacy,1707687
CEFEPIME IVPB 2 GM (UCI),cefepime ivpb,1748975
HYDROCODONE-ACETAMINOPHEN 10-325 MG OR TABS,hydrocodone,1174888
HYDROCODONE-ACETAMINOPHEN 10-325 MG OR TABS,acetaminophen,1125315
TIZANIDINE HCL 2 MG OR TABS,tizanidine hcl,778474
KETAMINE INFUSION (ANESTHESIA) (UCI),ketamine infusion,785649
PENTAFLUOROPROP-TETRAFLUOROETH EX AERO,pentafluoroprop,
PENTAFLUOROPROP-TETRAFLUOROETH EX AERO,tetrafluoroeth ex aero,
LIDOCAINE HCL 4 % EX SOLN,lidocaine hcl,989878
LIDOCAINE HCL 4 % EX SOLN,ex soln,
ROPIVACAINE REGIONAL ANESTHESIA 0.2% IN 100 ML PAIN MANAGEMENT CONT PNB PCA (UCI),ropivacaine regional anesthesia,1136487
ROPIVACAINE REGIONAL ANESTHESIA 0.2% IN 100 ML PAIN MANAGEMENT CONT PNB PCA (UCI),ml pain management cont pnb pca,
MORPHINE SULFATE 15 MG OR TABS,morphine sulfate,1110410
LORAZEPAM 1 MG OR TABS,lorazepam,791967
IBUPROFEN 600 MG OR TABS,ibuprofen,1177480
ATORVASTATIN CALCIUM 10 MG OR TABS,atorvastatin calcium,1545958
ZOLPIDEM TARTRATE 5 MG OR TABS,zolpidem tartrate,744740
DIPHENHYDRAMINE HCL 25 MG OR TABS OR CAPS,diphenhydramine hcl,1129625
DIPHENHYDRAMINE HCL 25 MG OR TABS OR CAPS,mg or tabs or caps,
BISACODYL 10 MG RE SUPP,bisacodyl,924939
CEFAZOLIN SODIUM-DEXTROSE 2-4 GM/100ML-% IV SOLN,cefazolin sodium,1771162
CEFAZOLIN SODIUM-DEXTROSE 2-4 GM/100ML-% IV SOLN,dextrose,
PHENYLEPHRINE INFUSION (ANESTHESIA) (UCI),phenylephrine infusion,1135766
ROPIVACAINE REGIONAL ANESTHESIA 0.2% IN 100 ML PAIN MANAGEMENT CONT PNB (UCI),ropivacaine regional anesthesia,1136487
ROPIVACAINE REGIONAL ANESTHESIA 0.2% IN 100 ML PAIN MANAGEMENT CONT PNB (UCI),ml pain management cont pnb,
METOPROLOL TARTRATE 25 MG OR TABS,metoprolol tartrate,1307046
METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,metoclopramide hcl,906780
KETAMINE HCL 10 MG/ML IJ SOLN,ketamine hcl,785649
DICLOFENAC SODIUM 1 % EX GEL,diclofenac sodium,1124300
CITRATE OF MAGNESIA 1.745 GM/30ML OR SOLN,citrate of magnesia,19011034
METOPROLOL TARTRATE 5 MG/5ML IV SOLN,metoprolol tartrate,1307046
LIDOCAINE HCL 1 % IJ SOLN,lidocaine hcl,989878
"HEPARIN 5,000 UNITS IN 500 ML NS SOLUTION (OPTIME)",heparin,1367571
"HEPARIN 5,000 UNITS IN 500 ML NS SOLUTION (OPTIME)",ml ns solution,
NITROGLYCERIN 2 % TD OINT,nitroglycerin,1361711
NITROGLYCERIN 2 % TD OINT,td oint,
DILTIAZEM HCL COATED BEADS 120 MG OR CP24 WRAPPER (UCI),diltiazem hcl coated beads,1328165
DILTIAZEM HCL COATED BEADS 120 MG OR CP24 WRAPPER (UCI),mg or cp,
DILTIAZEM HCL COATED BEADS 120 MG OR CP24 WRAPPER (UCI),wrapper,
CILOSTAZOL 100 MG OR TABS,cilostazol,1350310
LEVOTHYROXINE SODIUM 50 MCG OR TABS,levothyroxine sodium,1501700
SULFAMETHOXAZOLE-TRIMETHOPRIM 400-80 MG OR TABS,sulfamethoxazole,1836430
SULFAMETHOXAZOLE-TRIMETHOPRIM 400-80 MG OR TABS,trimethoprim,1705674
CEFAZOLIN SODIUM 1 GM IJ SOLR,cefazolin sodium,1771162
MISOPROSTOL 200 MCG OR TABS,misoprostol,1150871
SODIUM CHLORIDE 0.9 % IV BOLUS (UCI),sodium chloride,967823
SODIUM CHLORIDE 0.9 % IV BOLUS (UCI),iv bolus,
CALCITONIN (SALMON) 200 UNIT/ML IJ SOLN,calcitonin,42900359
CALCITONIN (SALMON) 200 UNIT/ML IJ SOLN,unit,
SODIUM CHLORIDE 0.45 % IV SOLN,sodium chloride,967823
CALCIUM GLUCONATE 4 G IVPB (UCI),calcium gluconate,19037038
CALCIUM GLUCONATE 4 G IVPB (UCI),g ivpb,
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,diphenhydramine hcl,1129625
PRENATABS RX 29-1 MG PO TABS,prenatabs rx,
IOHEXOL 9 MG/ML PO SOLN,iohexol,19080985
IOHEXOL 9 MG/ML PO SOLN,ml po soln,
SERTRALINE HCL 100 MG OR TABS,sertraline hcl,739138
PNEUMOCOCCAL VAC POLYVALENT 25 MCG/0.5ML IJ INJ,pneumococcal vac polyvalent,
PNEUMOCOCCAL VAC POLYVALENT 25 MCG/0.5ML IJ INJ,ij inj,
DEXMEDETOMIDINE 200 MCG/50 ML NS INFUSION (UCI),dexmedetomidine,19061088
DEXMEDETOMIDINE 200 MCG/50 ML NS INFUSION (UCI),ml ns infusion,
AMPHOTERICIN B OPHTHALMIC INJ 5 MCG / 0.1 ML (OPTIME),amphotericin b ophthalmic inj,1717240
ATROPINE SULFATE 1 MG/10ML IJ SOSY,atropine sulfate,914335
ATROPINE SULFATE 1 MG/10ML IJ SOSY,ij sosy,
SODIUM CHLORIDE 0.9% TKO INFUSION,sodium chloride,967823
SODIUM CHLORIDE 0.9% TKO INFUSION,tko infusion,
DOBUTAMINE IN D5W 1 MG/ML IV SOLN,dobutamine in d,1337720
DOBUTAMINE IN D5W 1 MG/ML IV SOLN,ml iv soln,
REGADENOSON 0.4 MG/5ML IV SOLN,regadenoson,19090761
PEGFILGRASTIM 6 MG/0.6ML SC SOSY,pegfilgrastim,1325608
PEGFILGRASTIM 6 MG/0.6ML SC SOSY,sc sosy,
PALONOSETRON HCL 0.25 MG/5ML IV SOLN,palonosetron hcl,911354
APREPITANT 130 MG/18ML IV EMUL,aprepitant,936748
DEXAMETHASONE IN NACL 10 MG/50ML IVPB (PREMADE) (UCI),dexamethasone in nacl,1518254
DEXAMETHASONE IN NACL 10 MG/50ML IVPB (PREMADE) (UCI),ivpb,
IRINOTECAN CHEMO INFUSION (UCI),irinotecan chemo infusion,1367268
LEUCOVORIN CHEMO INFUSION,leucovorin chemo infusion,1388796
BCG (TICE) BLADDER INSTILLATION,bcg,
BCG (TICE) BLADDER INSTILLATION,bladder instillation,
NEOMYCIN-POLYMIXIN GU IRRIGANT 1 ML IN 1000 ML NS (OPTIME),neomycin,915981
NEOMYCIN-POLYMIXIN GU IRRIGANT 1 ML IN 1000 ML NS (OPTIME),polymixin gu irrigant,
NEOMYCIN-POLYMIXIN GU IRRIGANT 1 ML IN 1000 ML NS (OPTIME),ml in,
NEOMYCIN-POLYMIXIN GU IRRIGANT 1 ML IN 1000 ML NS (OPTIME),ml ns,
STERILE WATER FOR IRRIGATION IR SOLN,sterile water for irrigation ir soln,
FLUTICASONE PROPIONATE  HFA 220 MCG/ACT IN AERO,fluticasone propionate,1149380
FLUTICASONE PROPIONATE  HFA 220 MCG/ACT IN AERO,hfa,
FLUTICASONE PROPIONATE  HFA 220 MCG/ACT IN AERO,act in aero,
EVICEL 5 ML EX KIT,evicel,
EVICEL 5 ML EX KIT,ml ex kit,
