Table,Label,Unit,Description,concept_name,vocab,concept_id,unit_concept_id,perc
vitals,pplat,cmH2O,Plateau pressure,Pressure.plateau Respiratory system airway,LOINC,36304439,44777590,
vitals,psa,mL,Infused volume of plasma solution,Transfuse plasma [Volume],LOINC,3009665,8587,
vitals,rbc,Unit,Transfused red blood cell,Transfuse packed erythrocytes units [#],LOINC,3040494,8510,
vitals,rfti,ng/mL,Target concentration of remifentanil,remifentanil,RxNorm,19016749,8842,
vitals,rr,/min,Respiration rate,Respiratory rate,LOINC,3024171,8541,
vitals,sft,ug,Injected dose of sufentanil,sufentanil,RxNorm,19078219,9655,
vitals,spo2,%,Peripheral oxygen saturation,Oxygen saturation in Blood,LOINC,3013502,8554,
vitals,sti,mV,ST segment elevation in lead I,ST amplitude.lead I,LOINC,21490798,720843,
vitals,stii,mV,ST segment elevation in lead II,ST amplitude.lead II,LOINC,21490799,720843,
vitals,stiii,mV,ST segment elevation in lead III,ST amplitude.lead III,LOINC,21490800,720843,
vitals,stv5,mV,ST segment elevation in lead V5,ST amplitude.lead V5,LOINC,21490796,720843,
vitals,svi,mL/m2,Stroke volume index,Right ventricular Stroke volume index by Indicator dilution,LOINC,3011189,32739,
vitals,uo,mL,Urine output,Urine output,LOINC,3014315,8587,
vitals,vaso,Unit,Injected dose of vasopressin,vasopressin (USP),RxNorm,1507835,8510,
vitals,vt,mL,Tidal volume,Tidal volume expired Respiratory system airway --on ventilator,LOINC,21490789,8587,
ward_vitals,bt,Celsius,Body Temperature,Body temperature,LOINC,3020891,586323,
ward_vitals,crrt,0/1,Use of hemodialysis or continuous renal replacement therapy,Continuous renal replacement therapy panel,LOINC,1989465,0,
ward_vitals,ecmo,0/1,Use of extracorporeal membrane oxygenator,Extracorporeal life support (ECLS)/Extracorporeal membrane oxygenation (ECMO),LOINC,21498858,0,
ward_vitals,hr,/min,Heart rate,Heart rate,LOINC,3027018,8541,
ward_vitals,iabp,0/1,Existence of any parameter related to use of Intra-aortic baloon pump,Intra-aortic balloon pump (IABP),LOINC,36309243,0,
ward_vitals,nibp_dbp,mmHg,Non-invasive diastolic blood pressure,Diastolic blood pressure by Noninvasive,LOINC,21492240,8876,
ward_vitals,nibp_mbp,mmHg,Non-invasive mean blood pressure,Mean blood pressure by Noninvasive,LOINC,21492241,8876,
ward_vitals,nibp_sbp,mmHg,Non-invasive systolic blood pressure,Systolic blood pressure by Noninvasive,LOINC,21492239,8876,
ward_vitals,rr,/min,Respiration rate,Respiratory rate,LOINC,3024171,8541,
ward_vitals,spo2,%,Peripheral oxygen saturation,Oxygen saturation in Blood,LOINC,3013502,8554,
ward_vitals,vent,0/1,Use of mechanical ventilation,Respiratory assistance with manual or mechanical ventilation,LOINC,36308817,0,
