MEDICATION_NM,count,perc
GABAPENTIN 300 MG OR CAPS,1778,4.480282222502205
METRONIDAZOLE IN NACL 500-0.79 MG/100ML-% IV SOLN,1724,4.344210658939146
INSULIN REGULAR IV BOLUS FROM BAG,1661,4.18546050144891
CLINDAMYCIN PHOSPHATE IN D5W 600 MG/50ML IV SOLN,1602,4.03678971903742
CEFEPIME IVPB 2 GM (UCI),1495,3.767166435680988
CEFTRIAXONE IVPB 1 GM IN NS (UCI),1484,3.7394481542144384
PROTAMINE SULFATE 10 MG/ML IV SOLN,1474,3.7142497165175756
ALBUTEROL SULFATE 108 (90 BASE) MCG/ACT IN AERS,1449,3.651253622275419
LIDOCAINE HCL 2 % EX GEL (UROJET) (UCI),1419,3.575658309184831
HYDRALAZINE HCL 20 MG/ML IJ SOLN,1413,3.560539246566713
MINERAL OIL LIGHT OIL,1372,3.4572256520095754
LIDOCAINE HCL (PF) 1 % IJ SOLN,1356,3.416908151694595
PHENYLEPHRINE HCL-NACL 1-0.9 MG/10ML-% IV SOSY,1339,3.374070807609928
IODIXANOL 320 MG/ML IV SOLN,1333,3.3589517449918103
METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,1308,3.295955650749653
OXYCODONE HCL 5 MG OR TABS,1282,3.23043971273781
ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,1219,3.0716895552475747
BUPIVACAINE-EPINEPHRINE (PF) 0.5% -1:200000 IJ SOLN,1165,2.9356179916845155
CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,1162,2.9280584603754565
FUROSEMIDE 10 MG/ML IJ SOLN,1124,2.8323043971273782
PERFLUTREN LIPID MICROSPHERE 1.1 MG/ML IV SUSP,1121,2.824744865818319
NOREPINEPHRINE INFUSION (ANESTHESIA),1072,2.7012725211036916
ACETAMINOPHEN 500 MG OR TABS,1036,2.6105581453949855
"BUPIVACAINE 0.25% AND LIDOCAINE 1%-EPI 1:100,000 (OPTIME)",1002,2.524883457225652
KETAMINE HCL-SODIUM CHLORIDE 50-0.9 MG/5ML-% IV SOSY,998,2.514804082146907
IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,997,2.512284238377221
AMPICILLIN-SULBACTAM IVPB 1.5 GM (UCI),988,2.489605644450044
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN,977,2.461887362983495
NITROGLYCERIN 5 MG/ML IV SOLN,963,2.426609550207887
ACETAMINOPHEN 325 MG PO TABS,959,2.416530175129142
CEFOXITIN IVPB 1 GM (UCI),934,2.3535340808869853
HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,932,2.3484943933476123
THROMBIN (RECOMBINANT) 5000 UNIT EX SOLR,932,2.3484943933476123
CISATRACURIUM BESYLATE 20 MG/10ML IV SOLN,918,2.3132165805720044
METOPROLOL TARTRATE 5 MG/5ML IV SOLN,917,2.3106967368023184
INSULIN REGULAR INFUSION,915,2.305657049262946
VASOPRESSIN 20 UNIT/ML IJ SOLN,910,2.293057830414514
LIDOCAINE 5 % EX PTCH,901,2.270379236487338
"PIPERACILLIN-TAZOBACTAM IVPB 3,375 MG (UCI)",891,2.245180798790475
INDOCYANINE GREEN 25 MG IV SOLR,882,2.2225022048632983
EVICEL 5 ML EX KIT,872,2.1973037671664355
CEFEPIME IVPB 1 GM,859,2.164545798160514
METRONIDAZOLE IN NACL 5-0.79 MG/ML-% IV SOLN,854,2.151946579312083
VANCOMYCIN IVPB 1 GM (UCI),848,2.1368275166939648
BISACODYL 10 MG RE SUPP,844,2.1267481416152196
CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN,840,2.1166687665364745
ATORVASTATIN CALCIUM 40 MG OR TABS,838,2.1116290789971024
PANTOPRAZOLE SODIUM 40 MG IV SOLR,838,2.1116290789971024
BUPIVACAINE HCL (PF) 0.75 % IJ SOLN,834,2.1015497039183573
FENTANYL CITRATE (PF) 250 MCG/5ML IJ SOLN,810,2.041073453445886
CEFTRIAXONE IV 2 GM IN SWFI (UCI),807,2.0335139221368275
ROPIVACAINE HCL 5 MG/ML IJ SOLN,774,1.9503590777371804
HYDROMORPHONE-BUPIVACAINE-NACL 1000-0.1-0.9 MCG/100ML-% EPIDURAL,771,1.9427995464281214
MANNITOL 20 % IV SOLN,759,1.912561421191886
TAB-A-VITE/BETA CAROTENE PO TABS,758,1.9100415774221997
HYDROCODONE-ACETAMINOPHEN 5-325 MG OR TABS,749,1.8873629834950234
AMLODIPINE 5 MG OR TABS,748,1.8848431397253371
BSS IO SOLN,744,1.874763764646592
EPINEPHRINE HCL (NASAL) 0.1 % NA SOLN,744,1.874763764646592
CEFTRIAXONE IV 1 GM IN SWFI,730,1.8394859518709838
ACETAMINOPHEN 650 MG RE SUPP,730,1.8394859518709838
LEVETIRACETAM IVPB (UCI),729,1.8369661081012976
HELP,725,1.8268867330225524
PANTOPRAZOLE SODIUM 40 MG OR TBEC,721,1.8168073579438073
SODIUM BICARBONATE 8.4 % IV SOLN,713,1.796648607786317
AMINOCAPROIC ACID IV INFUSION (ANESTHESIA) (UCI),712,1.794128764016631
MAGNESIUM SULFATE 50 % IJ SOLN,710,1.7890890764772585
LIDOCAINE HCL 4 % EX SOLN,699,1.7613707950107094
AMINOCAPROIC ACID 250 MG/ML IV SOLN,697,1.7563311074713368
HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR,682,1.7185334509260426
PROPOFOL 200 MG/20ML IV EMUL OPTIME (UCI),675,1.7008945445382384
MORPHINE SULFATE 10 MG/ML IJ SOLN,669,1.685775481920121
TRANEXAMIC ACID 1000 MG/10ML IV SOLN,669,1.685775481920121
MODEL IMS TEMPLATE,665,1.6756961068413758
VASOPRESSIN INFUSION (ANESTHESIA),656,1.6530175129141993
HYDROGEN PEROXIDE 3 % EX SOLN,655,1.6504976691445132
LIDOCAINE HCL 0.5 % IJ SOLN,651,1.6404182940657681
ETOMIDATE 2 MG/ML IV SOLN,646,1.6278190752173367
"HEPARIN 1,000 UNITS IN 100 ML NS SOLUTION (OPTIME)",639,1.6101801688295325
VECURONIUM BROMIDE 10 MG/10ML IV SOSY,639,1.6101801688295325
FAMOTIDINE 20 MG OR TABS,629,1.58498173113267
POVIDONE-IODINE 5 % OP SOLN,624,1.5723825122842383
HYDROMORPHONE HCL 1 MG/ML IJ SOLN,622,1.5673428247448657
DEXMEDETOMIDINE HCL 200 MCG/2ML IV SOLN,620,1.5623031372054932
"PIPERACILLIN-TAZOBACTAM IVPB 2,250 MG (UCI)",619,1.559783293435807
POVIDONE-IODINE 10 % EX SOLN,616,1.552223762126748
CLINDAMYCIN PHOSPHATE IN NACL 600-0.9 MG/50ML-% IV SOLN,614,1.5471840745873755
FENTANYL CITRATE (PF) 100 MCG/2ML IJ SOLN OPTIME (UCI),612,1.542144387048003
PROPOFOL 10 MG/ML BOLUS FROM BAG (UCI),610,1.5371046995086304
"CEFAZOLIN 1,000 MG IN 1,000 ML NS SOLUTION (OPTIME)",590,1.486707824114905
NITROGLYCERIN 50 MG/250 ML D5W PREMIX INFUSION (UCI),586,1.4766284490361599
INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,583,1.4690689177271008
CEFEPIME IVPB 1 GM (UCI),576,1.4514300113392968
"GENTAMICIN 80 MG IN 1,000 ML NS IRRIGATION (OPTIME)",575,1.4489101675696108
EPINEPHRINE PF 1 MG/ML IJ SOLN,568,1.4312712611818066
DOBUTAMINE 500 MG/250 ML D5W PREMIX INFUSION (UCI),562,1.4161521985636891
FENTANYL DOSE FROM BAG (UCI),547,1.3783545420183947
RENAL DOSING PROTOCOL FOR ANTI-INFECTIVE PER PHARMACY,531,1.3380370417034144
ERTAPENEM IVPB 1 GM,530,1.3355171979337281
NICARDIPINE HCL IN NACL 40-0.83 MG/200ML-% IV SOLN,526,1.3254378228549828
ATORVASTATIN CALCIUM 10 MG OR TABS,520,1.3103187602368653
PERFUSION ONLY - MANNITOL 25% IV SOLN,512,1.290160010079375
EPINEPHRINE 1 MG IN 1000 ML NS TOPICAL SOLUTION (OPTIME),508,1.28008063500063
HEPARIN 5000 UNITS/1000 ML NS (IR)(UCI),508,1.28008063500063
METHYLPREDNISOLONE SOD SUCCINATE OPHTHALMIC INJ 20 MG/ML (UCI),502,1.2649615723825123
PLASMA-LYTE A IV BOLUS (UCI),501,1.262441728612826
ONDANSETRON HCL 4 MG OR TABS,494,1.244802822225022
FLUORESCEIN SODIUM 1 MG OP STRP,491,1.2372432909159632
SCOPOLAMINE 1 MG/3DAYS TD PT72,491,1.2372432909159632
NEOMYCIN-POLYMYXIN GU IRRIGANT 1 ML IN 1000 ML NS (OPTIME),488,1.2296837596069043
PLASTIC SURGERY TUMESCENT SOLUTION (OPTIME)(UCI),488,1.2296837596069043
CEFOTETAN IVPB (VARIABLE DOSE),483,1.217084540758473
ASPIRIN 81 MG OR CHEW,479,1.2070051656797278
VANCOMYCIN PER PHARMACY (UCI),475,1.1969257906009827
DOCUSATE SODIUM 50 MG/5ML OR LIQD,473,1.1918861030616101
LEVOFLOXACIN IN D5W 500 MG/100ML IV SOLN,465,1.17172735290412
HEPARIN (PORCINE) IN NACL 1000 UNITS/500 ML 0.9% NACL IV SOLN (CUSTOM),461,1.1616479778253748
LIDOCAINE-EPINEPHRINE 2 %-1:100000 IJ SOLN,445,1.1213304775103943
DOCUSATE SODIUM 100 MG OR CAPS,444,1.1188106337407082
LIDOCAINE-EPINEPHRINE 0.5 %-1:200000 IJ SOLN,443,1.1162907899710217
ACETAMINOPHEN 160 MG/5ML OR SOLN,438,1.1036915711225903
MIDAZOLAM HCL (PF) 2 MG/2ML IJ SOLN,436,1.0986518835832177
EPINEPHRINE HCL 1 MG/ML IJ SOLN,435,1.0961320398135317
CEFAZOLIN OPHTHALMIC INJ 50 MG/ML (UCI),429,1.081012977195414
BELLADONNA ALKALOIDS-OPIUM 16.2-30 MG RE SUPP,428,1.0784931334257275
FERRIC SUBSULFATE 259 MG/GM EX SOLN,425,1.0709336021166689
TAMSULOSIN HCL 0.4 MG PO CAPS,424,1.0684137583469824
DEXTROSE-NACL 5-0.9 % IV SOLN,420,1.0583343832682373
VECURONIUM BROMIDE (PF) 10 MG/10ML IV SOSY,419,1.0558145394985512
"BACITRACIN 150,000 UNITS IN 3000 ML NS IRRIGATION (OPTIME)",406,1.0230565704926295
GENTAMICIN > 100 MG IVPB (UCI),406,1.0230565704926295
ASPIRIN EC 81 MG OR TBEC,397,1.000377976565453
METHYLENE BLUE IVPB (UCI),397,1.000377976565453
"HEPARIN 3,000 UNITS IN 3000 ML STERILE WATER SOLUTION (OPTIME)",395,0.9953382890260805
ANTITHYMOCYTE GLOBULIN (RABBIT) ADULT IVPB IN 500 ML (UCI),394,0.9928184452563941
SODIUM CHLORIDE 0.9 % IV BOLUS (UCI),394,0.9928184452563941
POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,388,0.9776993826382764
MORPHINE SULFATE 4 MG/ML IJ SOLN,383,0.9651001637898451
"HEPARIN 5,000 UNITS/1000 ML NS INFUSION FOR INTERVENTIONAL RADIOLOGY ONLY PREMIX (UCI)",382,0.9625803200201587
INDOMETHACIN 50 MG RE SUPP,380,0.9575406324807862
TRIAMCINOLONE ACETONIDE 40 MG/ML IJ SUSP,375,0.9449414136323547
DEXMEDETOMIDINE 200 MCG/50 ML NS INFUSION (UCI),368,0.9273025072445509
LIDOCAINE HCL (PF) 4 % IJ SOLN,362,0.9121834446264332
FERROUS SULFATE 325 (65 FE) MG OR TABS,360,0.9071437570870606
PAPAVERINE HCL 30 MG/ML IJ SOLN,349,0.8794254756205115
SURGIFLO HEMOSTATIC MATRIX KIT 2 ML,344,0.8668262567720803
OXYMETAZOLINE HCL 0.05 % NA SOLN,344,0.8668262567720803
AMPICILLIN-SULBACTAM IVPB 3 GM (UCI),340,0.8567468816933351
DESMOPRESSIN IVPB (UCI),339,0.8542270379236487
GENTAMICIN IN SALINE 1.2-0.9 MG/ML-% IV SOLN,335,0.8441476628449036
METHYLPREDNISOLONE IVPB 500 MG (UCI),333,0.839107975305531
ERTAPENEM IV 1 GM IN SWFI,326,0.8214690689177271
CEFOXITIN IV PUSH 1 GM IN SWFI 10 ML,325,0.8189492251480409
CEFAZOLIN SODIUM 1 GM/10ML IV SOSY,324,0.8164293813783545
TOBRAMYCIN SULFATE 1.2 GM IJ SOLR,320,0.8063500062996094
"GENTAMICIN 80 MG AND VANCOMYCIN 1,000 MG IN 1,000 ML NS IRRIGATION (OPTIME)",320,0.8063500062996094
NEOMYCIN-POLYMYXIN-DEXAMETH 3.5-10000-0.1 OP OINT,320,0.8063500062996094
MICROPLEGIA (ADENOSINE-LIDOCAINE-MAGNESIUM)(UCI)(OPTIME),319,0.8038301625299232
CARVEDILOL 3.125 MG OR TABS,316,0.7962706312208643
METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR,313,0.7887110999118054
NOREPINEPHRINE BITARTRATE 1 MG/ML IJ SOLN,309,0.7786317248330603
LIDOCAINE HCL 2 % IJ SOLN WRAPPED RECORD,309,0.7786317248330603
OXYTOCIN 10 UNIT/ML IJ SOLN,308,0.776111881063374
FENTANYL 50 MCG/ML PREMIX INFUSION (UCI),306,0.7710721935240015
MEPERIDINE HCL 50 MG/ML IJ SOLN,300,0.7559531309058838
HYDROCODONE-ACETAMINOPHEN 10-325 MG OR TABS,296,0.7458737558271388
LIDOCAINE-EPINEPHRINE 2 %-1:200000 IJ SOLN,293,0.7383142245180799
EVICEL 2 ML EX KIT,293,0.7383142245180799
GABAPENTIN 100 MG OR CAPS,291,0.7332745369787074
HEPARIN PER PHARMACY - UCI,290,0.7307546932090211
CARVEDILOL 12.5 MG OR TABS,289,0.7282348494393348
SURGIFOAM GELATIN POWDER KIT 1G,289,0.7282348494393348
LEVETIRACETAM IVPB 500 MG VIAL TO BAG (UCI),286,0.7206753181302759
MENTHOL 3.3 MG MT LOZG,284,0.7156356305909033
CEFOTETAN IVPB 1 GM,283,0.713115786821217
DEXTROSE-NACL 5-0.45 % IV SOLN,282,0.7105959430515307
LIDOCAINE HCL 4 % MT SOLN,282,0.7105959430515307
BENAZEPRIL HCL 5 MG OR TABS,280,0.7055562555121583
NEOMYCIN-POLYMIXIN GU IRRIGANT 1 ML IN 1000 ML NS (OPTIME),280,0.7055562555121583
METHYLENE BLUE 1 % IJ SOLN,277,0.6979967242030994
GABAPENTIN 600 MG OR TABS,276,0.6954768804334132
NALOXONE HCL 0.4 MG/ML IJ SOLN,276,0.6954768804334132
CLINDAMYCIN PHOSPHATE IN NACL 900-0.9 MG/50ML-% IV SOLN,276,0.6954768804334132
ERYTHROMYCIN 5 MG/GM OP OINT,271,0.6828776615849818
ACETYLCYSTEINE 20 % IN SOLN,269,0.6778379740456092
PNEUMOCOCCAL VAC POLYVALENT 25 MCG/0.5ML IJ INJ,267,0.6727982865062366
ENOXAPARIN SODIUM 30 MG/0.3ML SC SOLN,264,0.6652387551971778
MUPIROCIN 2 % EX OINT,260,0.6551593801184327
MORPHINE SULFATE 2 MG/ML IJ SOLN,254,0.640040317500315
LOSARTAN POTASSIUM 50 MG OR TABS,254,0.640040317500315
INFLUENZA VAC SPLIT QUAD 0.5 ML IM SUSY,252,0.6350006299609424
TOBRAMYCIN SULFATE 80 MG/2ML IJ SOLN,251,0.6324807861912561
PAPAVERINE DILUTION 60 MG IN 20 ML NS (OPTIME),251,0.6324807861912561
MAGNESIUM SULFATE 2 GM/50ML IV SOLN,249,0.6274410986518836
EPINEPHRINE 1 MG/10ML IJ SOSY OPTIME (UCI),247,0.622401411112511
VITAMIN D 2000 UNIT OR TABS,247,0.622401411112511
CHLORHEXIDINE GLUCONATE 4 % EX LIQD,246,0.6198815673428247
NOREPINEPHRINE 4 MG/250 ML NS INFUSION (UCI),245,0.6173617235731385
EPINEPHRINE PF 1 MG/10ML IJ SOSY,245,0.6173617235731385
VASOPRESSIN 20 UNITS IN NS 100 ML (OPTIME),244,0.6148418798034522
EPHEDRINE SULFATE 5 MG/ML IV SOLN,244,0.6148418798034522
BUPIVACAINE-EPINEPHRINE 0.5 % IJ SOLN,240,0.604762504724707
CEFAZOLIN SODIUM 1 GM IV SOLR,239,0.6022426609550208
NICARDIPINE 50 MG/250 ML NS INFUSION (UCI),239,0.6022426609550208
METHYLENE BLUE 0.5% 2 ML IN 1000 ML NS IRRIGATION (OPTIME)(UCI),238,0.5997228171853345
ZINC SULFATE 220 MG OR CAPS,233,0.5871235983369031
VITAMIN C 500 MG OR TABS,232,0.5846037545672168
BENAZEPRIL HCL 20 MG OR TABS,232,0.5846037545672168
VECURONIUM BROMIDE 10 MG IV SOLR,230,0.5795640670278442
LEVETIRACETAM 500 MG OR TABS,230,0.5795640670278442
METRONIDAZOLE 500 MG/100ML IV SOLN,230,0.5795640670278442
CEFAZOLIN IV PUSH 100 MG/ML IN SWFI,228,0.5745243794884717
FOLIC ACID 1 MG OR TABS,228,0.5745243794884717
VANCOMYCIN IVPB (VARIABLE DOSES IN 250 ML) - 1250 MG (UCI),228,0.5745243794884717
IOHEXOL 350 MG/ML IV SOLN,227,0.5720045357187854
METHYLPREDNISOLONE ACETATE 40 MG/ML IJ SUSP,226,0.5694846919490992
EPINEPHRINE IN BSS PLUS OPHTHAMIC SOLUTION (OPTIME),226,0.5694846919490992
NEPHRO-VITE 0.8 MG OR TABS,222,0.5594053168703541
HYDROMORPHONE 10 MCG/ML BUPIVACAINE 0.1% PAIN MANAGEMENT PCEA (UCI),222,0.5594053168703541
INSULIN GLARGINE 100 UNIT/ML SC SOLN,220,0.5543656293309815
SEVELAMER CARBONATE 800 MG OR TABS,217,0.5468060980219226
FLUCONAZOLE IN SODIUM CHLORIDE 200-0.9 MG/100ML-% IV SOLN,213,0.5367267229431775
FENTANYL 500 MCG/50 ML INFUSION (OPTIME) (UCI),213,0.5367267229431775
PHENYLEPHRINE HCL-NACL (PF) 1-0.9 MG/10ML-% IV SOSY,211,0.5316870354038049
SODIUM CHLORIDE 1 GM OR TABS,208,0.5241275040947462
"BUPIVACAINE 0.5% AND LIDOCAINE 0.5%-EPI 1:200,000 (OPTIME)",207,0.5216076603250599
CITRATE OF MAGNESIA 1.745 GM/30ML OR SOLN,207,0.5216076603250599
MAGNESIUM OXIDE 400 MG OR TABS,207,0.5216076603250599
"HEPARIN 10,000 UNITS IN 1,000 ML NS SOLUTION (OPTIME)",206,0.5190878165553736
GENTAMICIN IN SALINE 0.8-0.9 MG/ML-% IV SOLN,206,0.5190878165553736
SIMETHICONE 80 MG OR CHEW,206,0.5190878165553736
"PIPERACILLIN-TAZOBACTAM IVPB 4,500 MG (UCI)",204,0.514048129016001
METOPROLOL SUCCINATE 25 MG OR TB24,202,0.5090084414766285
VANCOMYCIN HCL 500 MG IV SOLR,202,0.5090084414766285
LACTULOSE 10 GM/15ML OR SOLN,199,0.5014489101675697
EPINEPHRINE INFUSION (ANESTHESIA),198,0.4989290663978833
CEFAZOLIN SODIUM-DEXTROSE 1-4 GM/50ML-% IV SOLN,197,0.49640922262819703
BUPIVACAINE LIPOSOME 1.3 % IJ SUSP,195,0.49136953508882447
OXYTOCIN INFUSION 30 UNITS/500 ML LR (PREMIX),194,0.4888496913191382
CALCIUM CARBONATE ANTACID 500 MG OR CHEW,194,0.4888496913191382
ATROPINE SULFATE 1 % OP SOLN,193,0.4863298475494519
VANCOMYCIN HCL 1000 MG IV SOLR,191,0.48129016001007935
MISOPROSTOL 200 MCG OR TABS,190,0.4787703162403931
EPINEPHRINE 8 MG/250 ML INFUSION (UCI),189,0.47625047247070684
BUPIVACAINE DILUTION 0.125% IJ SOLN (ANESTHESIA),189,0.47625047247070684
METOPROLOL TARTRATE 25 MG OR TABS,186,0.468690941161648
TRANEXAMIC ACID IVPB (UCI),185,0.4661710973919617
SUCCINYLCHOLINE CHLORIDE 20 MG/ML IJ SOLN,184,0.46365125362227544
FLUORESCEIN SODIUM 10 % IJ SOLN,184,0.46365125362227544
METOPROLOL TARTRATE 12.5 MG OR TABS (HALF TABLET),183,0.46113140985258916
LIDOCAINE HCL 2 % EX GEL,183,0.46113140985258916
NA CHONDROIT SULF-NA HYALURON 40-30 MG/ML IO SOLN,182,0.4586115660829029
HYDROXYZINE HCL 25 MG OR TABS,182,0.4586115660829029
NEOMYCIN-POLYMYXIN-DEXAMETH 0.1 % OP OINT,180,0.4535718785435303
GABAPENTIN 250 MG/5ML OR SOLN,180,0.4535718785435303
LANSOPRAZOLE 3 MG/ML OR SUSP (COMPOUNDED),179,0.45105203477384403
SODIUM CHLORIDE 3 % IV SOLN,175,0.44097265969509886
PROMETHAZINE IVPB (UCI),175,0.44097265969509886
MAGNESIUM SULFATE 10G IN NS 1 L (NEURO),175,0.44097265969509886
METHOCARBAMOL 750 MG OR TABS,173,0.4359329721557263
VANCOMYCIN IVPB (VARIABLE DOSES IN 300 ML) (UCI),171,0.43089328461635384
LORAZEPAM 2 MG/ML IJ SOLN,171,0.43089328461635384
FUROSEMIDE 40 MG OR TABS,171,0.43089328461635384
LACTATED RINGERS IV BOLUS (UCI),170,0.42837344084666756
MOXIFLOXACIN HCL 0.5 % OP SOLN,169,0.4258535970769812
DEXTROSE IN LACTATED RINGERS 5 % IV SOLN,167,0.42081390953760867
SILVER SULFADIAZINE 1 % EX CREA,166,0.4182940657679224
DIPHENHYDRAMINE HCL 25 MG OR TABS OR CAPS,166,0.4182940657679224
MELATONIN 1 MG OR TABS,165,0.4157742219982361
CEFOTETAN IVPB 2 GM,164,0.4132543782285498
HYDROCORTISONE SOD SUCCINATE 100 MG IJ SOLR,163,0.41073453445886354
QUETIAPINE FUMARATE 50 MG OR TABS,162,0.40821469068917726
VITAMIN D3 1000 UNIT OR TABS,162,0.40821469068917726
ZINC OXIDE 40 % EX PSTE (UCI),162,0.40821469068917726
