Table,Label,Unit,concept_name,vocab,concept_id,Lab Code,perc
labs,Neutrophils/100 leukocytes,%,Neutrophils/100 leukocytes in Blood by Manual count,LOINC,3027368,23761-0,19.15333249
labs,Lymphocytes/100 leukocytes,%,Lymphocytes/100 leukocytes in Blood by Manual count,LOINC,3038058,737-7,19.15081265
labs,Neutrophils,THOUS/MCL,Neutrophils [#/volume] in Blood by Manual count,LOINC,3017501,753-4,19.14325312
labs,Lymphocytes,THOUS/MCL,Lymphocytes [#/volume] in Blood by Manual count,LOINC,3003215,732-8,19.14073327
labs,Eosinophils,THOUS/MCL,Eosinophils [#/volume] in Blood by Manual count,LOINC,3009932,712-0,19.00466171
labs,Basophils,THOUS/MCL,Basophils [#/volume] in Blood by Manual count,LOINC,3027651,705-4,18.96434421
labs,Basophils/100 leukocytes,%,Basophils/100 leukocytes in Blood by Manual count,LOINC,3009797,707-0,18.96182437
labs,Urinalysis complete W Reflex Culture panel,Unknown,Urinalysis complete W Reflex Culture panel - Urine,LOINC,40761178,58077-9,18.13279577
labs,Influenza virus A RNA,Unknown,Influenza virus A RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,46235757,76078-5,17.90097014
labs,Influenza virus B RNA,Unknown,Influenza virus B RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,46235759,76080-1,17.90097014
labs,Microscopic observation,Unknown,Microscopic observation [Identifier] in Specimen by Gram stain,LOINC,3037167,664-3,16.60073075
labs,Anisocytosis,Unknown,Anisocytosis [Presence] in Blood by Light microscopy,LOINC,3026314,702-1,13.64243417
labs,Choriogonadotropin.beta subunit,mIU/mL,Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma,LOINC,3038136,21198-7,12.63197682
labs,Polychromasia,Unknown,Polychromasia [Presence] in Blood by Light microscopy,LOINC,3011987,10378-8,12.08265088
labs,Base excess,mmol/L,Base excess in Arterial cord blood by calculation,LOINC,3004959,28638-5,11.97177775
labs,Neutrophils.band form/100 leukocytes,%,Band form neutrophils/100 leukocytes in Blood by Manual count,LOINC,3007591,764-1,11.90374197
labs,Neutrophils.band form,THOUS/MCL,Band form neutrophils [#/volume] in Blood by Manual count,LOINC,3008939,763-3,11.89114275
labs,Bicarbonate,mmol/L,Bicarbonate [Moles/volume] in Arterial blood,LOINC,3008152,Apr-60,11.86090462
labs,Bilirubin.glucuronidated+Bilirubin.albumin bound,mg/dL,Bilirubin.direct [Mass/volume] in Serum or Plasma,LOINC,3027597,Jul-68,11.51820587
labs,Hemoglobin A1c/Hemoglobin.total,%,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,LOINC,3005673,17856-6,11.17298727
labs,Ovalocytes,Unknown,Ovalocytes [Presence] in Blood by Light microscopy,LOINC,3027920,774-0,10.96384024
labs,Oxygen saturation,%,Oxygen saturation in Arterial blood,LOINC,3016502,08-Jun,10.92856243
labs,Carbon dioxide,MMHG,Carbon dioxide [Partial pressure] in Arterial blood,LOINC,3027946,19-Aug,10.48758977
labs,Oxygen,MMHG,Oxygen [Partial pressure] in Arterial blood,LOINC,3027801,03-Jul,10.48758977
labs,pH,Unknown,pH of Arterial blood,LOINC,3019977,Jan-44,10.48758977
labs,Methadone,Unknown,Methadone [Presence] in Urine by Screen method,LOINC,3028707,19550-3,10.30112133
labs,Tetrahydrocannabinol,Unknown,Tetrahydrocannabinol [Presence] in Urine by Screen method,LOINC,3000201,19415-9,10.30112133
labs,Phencyclidine,Unknown,Phencyclidine [Presence] in Urine by Screen method,LOINC,3013184,19659-2,10.30112133
labs,Benzoylecgonine,Unknown,Benzoylecgonine [Presence] in Urine by Screen method,LOINC,3014798,14314-9,10.30112133
labs,Amphetamine,Unknown,Amphetamine [Presence] in Urine by Screen method,LOINC,3000144,19343-3,10.30112133
labs,Barbiturates,Unknown,Barbiturates [Presence] in Urine by Screen method,LOINC,3005058,19270-8,10.30112133
labs,Opiates,Unknown,Opiates [Presence] in Urine by Screen method,LOINC,3015208,19295-5,10.30112133
labs,Propoxyphene,Unknown,Propoxyphene [Presence] in Urine by Screen method,LOINC,3009956,19429-0,10.30112133
labs,Methylenedioxymethamphetamine,Unknown,Methylenedioxymethamphetamine [Presence] in Urine by Screen method,LOINC,3002148,19568-5,10.29860149
labs,Benzodiazepines,Unknown,Benzodiazepines [Presence] in Urine by Screen method,LOINC,3007682,14316-4,10.25072446
labs,Troponin I.cardiac,ng/L,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,LOINC,36306105,89579-7,10.22048633
labs,Fungus identified,Unknown,Fungus identified in Specimen by Fungus stain,LOINC,3008193,21003-9,9.436814917
labs,Ethanol,mg/dL,Ethanol [Mass/volume] in Serum or Plasma,LOINC,3012920,Feb-43,9.225148041
labs,Triacylglycerol lipase,U/L,Lipase [Enzymatic activity/volume] in Serum or Plasma,LOINC,3004905,Mar-40,9.000881945
labs,C reactive protein,MG/DL,C reactive protein [Mass/volume] in Serum or Plasma,LOINC,3020460,May-88,8.869850069
labs,Thyrotropin,uIU/mL,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,LOINC,3019170,11580-8,8.66322288
labs,Metamyelocytes/100 leukocytes,%,Metamyelocytes/100 leukocytes in Blood by Manual count,LOINC,3000666,740-1,8.320524128
labs,Metamyelocytes,THOUS/MCL,Metamyelocytes [#/volume] in Blood by Manual count,LOINC,3012392,739-3,8.318004284
labs,Myelocytes/100 leukocytes,%,Myelocytes/100 leukocytes in Blood by Manual count,LOINC,3018229,749-2,8.262567721
labs,Myelocytes,THOUS/MCL,Myelocytes [#/volume] in Blood by Manual count,LOINC,3017680,748-4,8.257528033
labs,Microscopic observation,Unknown,Microscopic observation [Identifier] in Specimen by Acid fast stain,LOINC,3027744,11545-1,7.771198186
labs,Creatine kinase,U/L,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,LOINC,3007220,Jun-57,7.400781152
labs,Ferritin,NG/ML,Ferritin [Mass/volume] in Serum or Plasma,LOINC,3001122,Apr-76,7.35290412
labs,Iron,MCG/DL,Iron [Mass/volume] in Serum or Plasma,LOINC,3002400,Apr-98,6.841375835
labs,Respiratory syncytial virus RNA,Unknown,Respiratory syncytial virus RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,46235794,76089-2,6.828776616
labs,Iron/Transferrin,MG/DL,Iron/Transferrin [Mass Ratio] in Serum or Plasma,LOINC,3023017,13452-8,6.821217085
labs,Iron binding capacity,MCG/DL,Iron binding capacity [Mass/volume] in Serum or Plasma,LOINC,3021044,Jul-00,6.816177397
labs,Iron saturation,%,Iron saturation [Mass Fraction] in Serum or Plasma,LOINC,3000185,02-Mar,6.664986771
labs,Erythrocyte sedimentation rate,MM/HR,Erythrocyte sedimentation rate,LOINC,3015183,30341-2,6.266851455
labs,Triglyceride,MG/DL,Triglyceride [Mass/volume] in Serum or Plasma,LOINC,3022192,Aug-71,6.259291924
labs,Natriuretic peptide.B,pg/mL,Natriuretic peptide B [Mass/volume] in Serum or Plasma,LOINC,3011960,30934-4,6.095502079
labs,Sodium,mmol/L,Sodium [Moles/volume] in Urine collected for unspecified duration,LOINC,3034249,35678-2,6.045105203
labs,Hypochromia,Unknown,Hypochromia [Presence] in Blood by Light microscopy,LOINC,3021303,728-6,5.88887489
labs,Thyroxine.free,ng/dL,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,LOINC,3008598,24-Jul,5.828398639
labs,Vancomycin^trough,MCG/ML,Vancomycin [Mass/volume] in Serum or Plasma --trough,LOINC,3018920,Mar-92,5.780521608
labs,Hepatitis B virus surface Ag,Unknown,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,LOINC,3019510,Jan-96,5.742723951
labs,Erythrocytes.nucleated/100 leukocytes,/100 WBC,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Manual count,LOINC,3003311,18309-5,5.649489732
labs,Activated clotting time,SEC.,Activated clotting time (ACT) of Blood by Coagulation assay,LOINC,3016948,Sep-84,5.533576918
labs,Fibrinogen,MG/DL,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,LOINC,3016407,Jul-55,5.498299105
labs,Schistocytes,Unknown,Schistocytes [Presence] in Blood by Light microscopy,LOINC,3019880,800-3,5.410104574
labs,Creatinine,MG/DL,Creatinine [Mass/volume] in Urine,LOINC,3017250,Aug-61,5.208517072
labs,Carboxyhemoglobin/Hemoglobin.total,%,Carboxyhemoglobin/Hemoglobin.total in Blood,LOINC,3023081,20563-3,5.188358322
labs,Cholesterol,MG/DL,Cholesterol [Mass/volume] in Serum or Plasma,LOINC,3027114,Mar-93,5.158120197
labs,Methemoglobin,%,Methemoglobin [Mass/volume] in Blood,LOINC,3005147,15082-1,5.054806602
labs,Hematocrit,%,Hematocrit [Volume Fraction] of Blood by Automated count,LOINC,3023314,Mar-44,5.054806602
labs,Calcidiol,ng/mL,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC,3020149,Mar-89,4.800302381
labs,Procalcitonin,ng/mL,Procalcitonin [Mass/volume] in Serum or Plasma,LOINC,3046279,33959-8,4.666750661
labs,Platelets.large,Unknown,Platelets Large [Presence] in Blood by Light microscopy,LOINC,3034118,32146-3,4.608794255
labs,Platelet function.collagen+EPINEPHrine induced,SEC,Platelet function (closure time) collagen+EPINEPHrine induced [Time] in Blood,LOINC,3005807,24471-5,4.570996598
labs,Cobalamins,PG/ML,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,LOINC,3000593,Sep-32,4.558397379
labs,Cholesterol.in LDL,MG/DL,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,3053341,49132-4,4.555877536
labs,Platelet function.collagen+Adenosine diphosphate induced,SEC,Platelet function (closure time) collagen+ADP induced [Time] in Blood,LOINC,3027391,24472-3,4.555877536
labs,Cholesterol.non HDL,MG/DL,Cholesterol non HDL [Mass/volume] in Serum or Plasma,LOINC,3044491,43396-1,4.555877536
labs,Cholesterol.in VLDL,MG/DL,Cholesterol in VLDL [Mass/volume] in Serum or Plasma,LOINC,3007352,Jul-91,4.555877536
labs,Lactate dehydrogenase,U/L,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,LOINC,3022250,14804-9,4.540758473
labs,Lymphocytes.variant/100 leukocytes,%,Variant lymphocytes/100 leukocytes in Blood by Manual count,LOINC,3037234,735-1,4.530679098
labs,Troponin I.cardiac,ng/mL,Troponin I.cardiac [Mass/volume] in Serum or Plasma,LOINC,3021337,10839-9,4.523119567
labs,Lymphocytes.abnormal,THOUS/MCL,Abnormal lymphocytes [Presence] in Blood by Manual count,LOINC,21492392,78355-5,4.477762379
labs,Prealbumin,MG/DL,Prealbumin [Mass/volume] in Serum or Plasma by Nephelometry,LOINC,3044974,46130-1,4.452563941
labs,Cholesterol.in HDL,MG/DL,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,3007070,Sep-85,4.397127378
labs,Creatinine,MG/DL,Creatinine [Mass/volume] in Blood,LOINC,3051825,38483-4,4.359329722
labs,Urea nitrogen,MG/DL,Urea nitrogen [Mass/volume] in Venous blood,LOINC,3027219,12962-7,4.359329722
labs,Chloride,MMOL/L,Chloride [Moles/volume] in Arterial blood,LOINC,3031248,41650-3,4.359329722
labs,Hepatitis C virus Ab,Unknown,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,LOINC,3013801,13955-0,4.228297846
labs,Heparin.low molecular weight,IU/ML,LMW Heparin [Units/volume] in Platelet poor plasma by Chromogenic method,LOINC,3006792,Apr-71,4.145143001
labs,Chloride,mmol/L,Chloride [Moles/volume] in Blood,LOINC,3018572,Mar-69,4.082146907
labs,Osmolality,MOSM/KG,Osmolality of Urine,LOINC,3026782,May-95,3.966234093
labs,Folate,NG/ML,Folate [Mass/volume] in Serum or Plasma,LOINC,3036987,Aug-84,3.96371425
labs,HIV 1+2 Ab+HIV1 p24 Ag,Unknown,HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,LOINC,40760007,56888-1,3.935995968
labs,Burr cells,Unknown,Burr cells [Presence] in Blood by Light microscopy,LOINC,3005854,Sep-90,3.678971904
labs,Dacryocytes,Unknown,Dacrocytes [Presence] in Blood by Light microscopy,LOINC,3000456,Jul-91,3.570618622
labs,Parathyrin.intact,PG/ML,Parathyrin.intact [Mass/volume] in Serum or Plasma,LOINC,3000067,31-Aug,3.30855487
labs,Microcytes,Unknown,Microcytes [Presence] in Blood by Light microscopy,LOINC,3037885,741-9,3.285876276
labs,Osmolality,MOSM/KG,Osmolality of Serum or Plasma,LOINC,3008295,Feb-92,3.21532065
labs,Vancomycin,MCG/ML,Vancomycin [Mass/volume] in Serum or Plasma,LOINC,3005715,20578-1,3.094368149
labs,Fibrin D-dimer FEU,ng/mL FEU,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,LOINC,3051714,48065-7,3.071689555
labs,Heparin.unfractionated,IU/ML,Heparin unfractionated [Units/volume] in Platelet poor plasma by Chromogenic method,LOINC,3025684,Aug-74,3.051530805
labs,Hepatitis B virus surface Ab,mIU/mL,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,LOINC,3013731,Aug-93,3.046491118
labs,Neutrophils.vacuolated,Unknown,Neutrophils.vacuolated [Presence] in Blood by Light microscopy,LOINC,3033907,18319-4,3.028852211
labs,Clotting time.extrinsic coagulation system activated,SEC,Clotting time.extrinsic coagulation system activated of Blood by Rotational TEG,LOINC,3041111,52773-9,2.892780648
labs,Maximum clot firmness.extrinsic coagulation system activated,mm,Maximum clot firmness.extrinsic coagulation system activated [Length] in Blood by Rotational TEG,LOINC,3039607,52783-8,2.88774096
labs,Clot angle,Degree,Clot angle in Blood by Thromboelastography,LOINC,40769408,66748-5,2.88774096
labs,Maximum lysis.extrinsic coagulation system activated,%,Maximum lysis.extrinsic coagulation system activated [Length fraction] in Blood by Rotational TEG,LOINC,3041105,52786-1,2.88774096
labs,Maximum clot firmness.extrinsic coagulation system activated.platelets inhibited,mm,Maximum clot firmness.extrinsic coagulation system activated.platelets inhibited [Length] in Blood by Rotational TEG,LOINC,3040782,52780-4,2.88774096
labs,Clot formation.extrinsic coagulation system activated,SEC,Clot formation.extrinsic coagulation system activated [Time] in Blood by Rotational TEG,LOINC,3040555,52770-5,2.880181429
labs,Hepatitis B virus surface Ab,Unknown,Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay,LOINC,3006453,10900-9,2.797026584
labs,Urea nitrogen,MG/DL,Urea nitrogen [Mass/volume] in Urine,LOINC,3011965,Jul-95,2.789467053
labs,Stomatocytes,Unknown,Stomatocytes [Presence] in Blood by Light microscopy,LOINC,3024783,10380-4,2.761748772
labs,Hyaline casts,/LPF,Hyaline casts [#/area] in Urine sediment by Automated count,LOINC,3043722,33223-9,2.761748772
labs,Hepatitis B virus core Ab,Unknown,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay,LOINC,3036282,13952-7,2.739070178
labs,Oxygen content,ML/DL,Oxygen content in Blood by calculation,LOINC,40760909,57800-5,2.698752677
labs,Toxic granules,Unknown,Toxic granules [Presence] in Blood by Light microscopy,LOINC,3004381,803-7,2.67355424
labs,Oxygen saturation,%,Oxygen saturation in Blood,LOINC,3013502,20564-1,2.668514552
labs,Choriogonadotropin (pregnancy test),Unknown,Choriogonadotropin (pregnancy test) [Presence] in Urine,LOINC,3018954,06-Mar,2.575280333
labs,C reactive protein,MG/DL,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,LOINC,3010156,30522-7,2.537482676
labs,Carbon dioxide,MMHG,Carbon dioxide [Partial pressure] in Venous blood,LOINC,3021447,21-Apr,2.524883457
labs,pH,Unknown,pH of Venous blood,LOINC,3012544,Jun-46,2.524883457
labs,Oxygen,MMHG,Oxygen [Partial pressure] in Venous blood,LOINC,3024354,05-Feb,2.524883457
labs,Target cells,Unknown,Target cells [Presence] in Blood by Light microscopy,LOINC,3025616,10381-2,2.504724707
labs,Fluid,Unknown,[Type] of Body fluid,LOINC,3020845,14725-6,2.456847675
labs,Color,Unknown,Color of Body fluid,LOINC,3015579,24-Jul,2.451807988
labs,XXX microorganism DNA,Unknown,XXX microorganism DNA [Presence] in Specimen by NAA with probe detection,LOINC,3035833,35691-5,2.449288144
labs,Erythrocytes.nucleated,/CUMM,Nucleated erythrocytes [#/volume] in Body fluid by Manual count,LOINC,3006032,13530-1,2.441728613
labs,Erythrocytes.nucleated,/CUMM,Nucleated erythrocytes [#/volume] in Body fluid,LOINC,3028129,26460-6,2.441728613
labs,Bicarbonate,mmol/L,Bicarbonate [Moles/volume] in Mixed venous blood,LOINC,3025817,19229-4,2.42660955
labs,Clostridioides difficile toxin genes,Unknown,Clostridioides difficile toxin genes [Presence] in Stool by NAA with probe detection,LOINC,3051552,54067-4,2.373692831
labs,Neutrophils.band form/100 leukocytes,%,Band form neutrophils/100 leukocytes in Body fluid,LOINC,3017161,26510-8,2.356053925
labs,Carbon dioxide,MMHG,Carbon dioxide [Partial pressure] in Mixed venous blood,LOINC,3021513,19212-0,2.328335643
labs,Oxygen,MMHG,Oxygen [Partial pressure] in Mixed venous blood,LOINC,3038071,19211-2,2.328335643
labs,pH,Unknown,pH of Mixed venous blood,LOINC,3012388,19213-8,2.328335643
labs,Crystals.amorphous,/HPF,Crystals.amorphous [Presence] in Urine by Computer assisted method,LOINC,3039587,53329-9,2.255260174
labs,Lymphocytes/100 leukocytes,%,Lymphocytes/100 leukocytes in Body fluid by Manual count,LOINC,3003540,13941-0,2.225022049
labs,Ammonia,MCMOL/L,Ammonia [Moles/volume] in Plasma,LOINC,3011958,16362-6,2.219982361
